,X,Y,FID,Title,Type,Address,Latitude,Longitude,Artist_Last_,Artist_First,Additional_Artists,Media,Year_Created,Year_Erected,TNT_Area,Neighborhood,Specific_Location,Image_Url,place_id,lat,lng,restaurant
28,-76.16935,43.046469,29,Tectonic Sculpture 03 (Walt: The Lock Ness Monster),Sculpture,"W. Fayette St at Onondaga Creek Syracuse,NY",43.046469,-76.16935,Rose,Brendan,,"Concrete, steel, wood",2011.0,2011.0,Downtown,Armory Square,Onondaga Creekwalk,,EjpXIEZheWV0dGUgU3QgJiBPbm9uZGFnYSBDcmVla3dhbGssIFN5cmFjdXNlLCBOWSAxMzIwMiwgVVNBImYiZAoUChIJL9-JOcfz2YkRYTIIxvDUzHESFAoSCS_fiTnH89mJEWEyCMbw1MxxGhQKEgnT_9h02_PZiRHFtM74gq8VRxoUChIJdQIYzM7z2YkRPDWdArRTyEciCg1Zt6gZFZ1cm9I,43.0487385,-76.15701469999999,Ponchito's Taqueria
29,-76.1524237,43.0011259,30,Honoring the Onondaga Creek,Sculpture,"Meachum Field Park Syracuse,NY",43.0011259,-76.1524237,Michel,Peter,,Aluminum,2011.0,2011.0,Valley,Valley,"Northwest corner of Meachum Field Park, W. Seneca Turnpike at Onondaga Creek",,ChIJ8Y3aeUP02YkR3Q42PawCGZw,42.99918359999999,-76.1447677,JRECK Subs
30,-76.117522,43.057583,31,Cycle,Sculpture,"Henninger High School, 600 Robinson Street Syracuse,NY",43.057583,-76.117522,Roth,Jason,,Steel and ceramic,2011.0,2011.0,Eastwood,Eastwood,West side of campus ,,ChIJeQYZEeLy2YkRR3zwAzuR-PY,43.0577607,-76.1188171,Tangy Tomato
31,-76.147903,43.00114,32,Community as Family,Sculpture,"Beauchamp Branch Library, 2111 S Salina Street Syracuse,NY",43.00114,-76.147903,Michel,Peter,,Aluminum,2010.0,2010.0,Southside,Southside,West of main entrance to library; in front lawn area,,ChIJRbEJ8ojz2YkRw28WEH1x93M,43.0259622,-76.1450043,JRECK Subs
32,-76.141262,43.047149,33,SyraViews Stereoscopes,Sculpture,"Forman Park Syracuse,NY",43.047149,-76.141262,Woolpert,Colleen,,Steel,2012.0,2012.0,Eastside,East Genesee,Westside of fountain circle in Forman Park,,ChIJD9F6YKTz2YkRxv3AmmRMCow,43.0471341,-76.1412361,Redfield's Restaurant
33,-76.134479,43.045706,34,Bells of Surrender,Sculpture,"412 University Avenue  Syracuse,NY",43.045706,-76.134479,Rose,Brendan,,Steel and Concrete,2012.0,2012.0,Eastside,University,412 University Avenue in front of Grace Church's memorial garden,,ChIJnSEpKqfz2YkRXGHKCQ1qG-Y,43.04558129999999,-76.13475989999999,"Collegian Hotel & Suites, Trademark Collection by Wyndham"
34,-76.15704,43.048911,35,Let Us Continue,Mural,"Onondaga Creek Walk Syracuse,NY",43.048911,-76.15704,Fletchall,Quinton,Nathan Li,Acrylic boards,2014.0,2014.0,Downtown,"Armory Square, Creek Walk",East facing wall between the SU Warehouse and Marriott Hotel garage,,ChIJdQIYzM7z2YkRPDWdArRTyEc,43.0584324,-76.1647887,Decir Algo
35,-76.157148,43.048891,36,Current,Sculpture,"Onondaga Creek Walk Syracuse,NY",43.048891,-76.157148,Hancock,Blessing,,Stainless steel,2016.0,2017.0,Downtown,Armory Square,Onondaga Creek between Warehouse and Marriott Hotel Parking garage,,ChIJdQIYzM7z2YkRPDWdArRTyEc,43.0584324,-76.1647887,Decir Algo
36,-76.149032,43.044626,37,DecoRated Wall,Mural,"235 Harrison Street Syracuse,NY",43.044626,-76.149032,Meyer,Mike,,Auto paint on steel panels,2017.0,2017.0,Downtown,Downtown,AXA Parking Garage curved wall facing Montgomery St,,ChIJbTFWfL7z2YkRPl-pPSndw3E,43.0446324,-76.14993559999999,Ale 'n' Angus Pub
37,-76.14676,43.047932,38,Mighty Salt City,Mural,"420 E. Genesee Street Syracuse,NY",43.047932,-76.14676,Valenzuela,Cayetano,,Acrylic,2016.0,2016.0,Downtown,Downtown,West façade of 420 E. Genesee St,,ChIJF53kn7vz2YkRStRmpwfdJ9g,43.0478979,-76.14653559999999,City Hall Cafe
